lat,lng,name,photo_ref,rating,user_rating_total,vicinity,place_id,types
48.8476989,2.2850569,Restaurant Téhéran,CmRaAAAA7y8qfPS0F28BgW7m1RPAUPgTTWgjI0Z53IZB4xJSPihPadiU5x77ng2J-YEiytr2Xc33ML77cQHKJ7zQ669CkpekAy_q-JGtHX9IHYXHuoddmuWgrgysdrm3KCnJNLP3EhB8j9ZSI6bdpkBwfyorOIgfGhS8FX82ojctaJtJTXVpejdHXbkNVg,4.2,424,"8 Rue Beaugrenelle, Paris",ChIJY4I3XLXuC0ER50V1svz5VyE,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.84887790000001,2.2828741,Cojean,CmRaAAAAJWdj0_3uc87RyPtjjjw3h4IGueKsPO_nT7Yjs0PcMyDtAsD_80KoeYBwUshg6VS5TKkHR_LDtLNmoSX4VaeLFny8GZXGfsZ5M0hgSyQ7eaZQVkHt1oU-7inuOyn4TN3SEhAGsgfNuPTIXw2tJac2P1K7GhSVt_Apf__BaCC-3_ZhFvtHYK4_LA,3.8,277,"7 Rue Linois, Paris",ChIJ_QsI6AVw5kcREjxQvJJJteI,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8493354,2.2826643,Panasia,CmRaAAAAG3E-dyQVUEE5dCYZUTcEni7pHeI21NfpDs9h0YbSOBsjCZMg0llpYtLjMCfOzX2hE5OHTkxe11Pq_6zszg0a1qHC2ZUwSj_AdRDSayPM3QyjeqPrTAqiAMyh2VQYr_aQEhBwzsj24G-6GKrhO8kTWIgzGhTo4_PXP-wPmpqm9qqpS2MoqzbhUg,3.8,299,"7 Rue Linois, Paris",ChIJbyLO3QVw5kcR3dBDmCiWiqE,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8491498,2.2823663,Chipotle,CmRaAAAAzpspGxSZPziaTIA7HthhEJMIPEE75_ZVJI4Yy6Ri5umQi20emZFj4Xql17F1oOW7fA_-0Dn3VYxIXh3JXPsJVCIAXjKvhkTTCf9nqa3bsgNilXKFWXVrntoWkY8a-baZEhDy-r7tyxY2gYOrbZXTHPnmGhRumT04Wy9YoeFmNHm1I-3K_iTHsA,4,795,"2 Rue Linois, Paris",ChIJr3rNhQ9w5kcRsHvlK_5TuTo,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8469975,2.2860812,Starbucks Coffee,CmRaAAAAnINPCaivhLLjz5LG48AMVhVb8hA9zvHRlcgTHCYI3H81vBVR8_2vxB0JkkpqefQowXMtYWMb1UeCJjARX0w_hgLVUOZL6FvsCuWP430BAj5skCJ1y3j1lXevkd65-05fEhASpwKPXmsvy2thwmuoE4SEGhToS_iFl4QMi4K8VNJWn00fRrYz0A,3.9,606,"83 Rue Saint-Charles, Paris",ChIJlSBtiw9w5kcR-8L0iDB8Qyg,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
48.84687969999999,2.284826499999999,McDonald's,CmRaAAAAS_-w6i2_iVeBrPYxnlhQPrIHMXuSmGMSqiCTkpW6KT6iQxtgwbS8TllURZv8Eos15iwjzrZIAQ-JNNyT9JBKhA8mg-VJ_7St1LT6KPGFClJAccaayoQfkxOygoChzh-sEhBIakCqbFr0N_oTyW9qDAJsGhRgSTBzoQeOm9zHaETKZt2ujPkGSQ,3.5,1355,"48 Rue Linois, Paris",ChIJyWcKhA9w5kcR9CBf2_JDOcE,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8473726,2.2860494,Le Pareloup,CmRaAAAA0Cn1TqHW40FZH0OLXU-1waeAji5RDMMfhSBaVzLLF1NjdYUs2eExH4Q--6dnqsJxt0nbcuuOi8150Bdku_GWSkaQ77zf6PF6iZYRwNd0mJ-1QDoRRMJFAfWNopZ7BgNxEhAeg2uE5tQs0o1xf7vQ7cfrGhQ-ezwoMTvirhIGwf4qw5TrvCn3Mg,4.1,267,"16 Rue Beaugrenelle, Paris",ChIJXdGMig9w5kcRHPFfe2WZKak,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.84238579999999,2.2820285,Restaurant Tipaza,CmRaAAAAKNL2ins9Ji71oEkKvOWhmK8JxpfyPStiXb_wOmFh8AXPNXLs6UHg6p-232AeExSjFZ9mbxlmKsjnB3eMfjMcUHV9DXlA2bEyaTaNx8JhQAxywLAuOyYE14yZbzd12_XYEhARkUPFWMJcmz9fI4mhW3p4GhQznfvNGgo1S5BzkmRr9WcL9DV8nQ,4.2,539,"155 Rue Saint-Charles, Paris",ChIJ2cncqQ5w5kcRFjxMaeTqFbU,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8430844,2.2826768,Eat Sushi,CmRZAAAA-aO55HhXJMMIpKoxDt5301JT7AKq0fQUs8TwckhYvU8hyW9pr25A86zVXsW2LT5ve0W4mR18r_hqjnB1ldkpkFChbVnglD0HorsEEbwC8rApfJbQtVEgDGvrCg3njLrqEhARiVWsYF8sV0tjVWaKSUjiGhRs9bG_3O_oHCH4tI-Wf5Lu8N5SIA,2.9,85,"145 Rue Saint-Charles, Paris",ChIJF0bquw5w5kcRuPjQCbYQ9iI,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8465188,2.283610799999999,Sawadee,CmRaAAAAZ8N7lI9pLt-i7ghp86ihNjZRvSFA7R3Bnb8JFtrPV9VDrHExxvsyo8mTArWk_8r2dCqYAasg8K6DnbmM2WAI7SYK9uzu_lkQnpzdxJTUu-Bl0i_8vjZWMSsWX7jC0HltEhDaoXm1enRAGeK_5OJb6kMFGhTcefHyqMcd-Lv7OYl_QEcs9xenPg,3.9,159,"53 Avenue Emile Zola, Paris",ChIJOdMuQg9w5kcRVPTl1RjaPHY,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8454613,2.288232799999999,Restaurant Cheminée,CmRaAAAAcRSfCwF2vacrh6PIVks9HmaoZftqbAOpQk3e9XBesAx7cpO4Li0So1IM-kOG0mn0pQ9gak4_x6drhs5ca2xjd9jZQSf01d_9Tq88SdAMt7GYfREw-3UabfXbmHE1AudNEhAv1Kv8h3_3V83wHEseCFeaGhQREf-dqEncOPl297cZfv3b_LVDLg,4.2,186,"60bis Rue des Entrepreneurs, Paris",ChIJNaFnOhBw5kcR1Y5EnhrLzaw,"['restaurant', 'food', 'point_of_interest', 'establishment']"
